date,AbsPressure,Depth
2021-01-15 11:25:30,104.479,0.269
2021-01-15 11:25:40,104.806,0.302
2021-01-15 11:25:50,104.616,0.283
2021-01-15 11:26:00,104.703,0.292
2021-01-15 11:26:10,105.013,0.322
2021-01-15 11:26:20,104.685,0.29
2021-01-15 11:26:30,104.53,0.274
2021-01-15 11:26:40,104.892,0.31
2021-01-15 11:26:50,104.599,0.281
2021-01-15 11:27:00,104.875,0.309
2021-01-15 11:27:10,104.513,0.273
2021-01-15 11:27:20,104.703,0.292
2021-01-15 11:27:30,104.444,0.266
2021-01-15 11:27:40,104.599,0.281
2021-01-15 11:27:50,104.392,0.261
2021-01-15 11:28:00,104.496,0.271
2021-01-15 11:28:10,104.513,0.273
2021-01-15 11:28:20,104.513,0.273
2021-01-15 11:28:30,104.789,0.3
2021-01-15 11:28:40,104.427,0.264
2021-01-15 11:28:50,104.565,0.278
2021-01-15 11:29:00,104.754,0.297
2021-01-15 11:29:10,104.53,0.274
2021-01-15 11:29:20,104.599,0.281
2021-01-15 11:29:30,104.582,0.28
2021-01-15 11:29:40,104.651,0.286
2021-01-15 11:29:50,104.427,0.264
2021-01-15 11:30:00,104.858,0.307
2021-01-15 11:30:10,104.375,0.259
2021-01-15 11:30:20,104.565,0.278
2021-01-15 11:30:30,104.53,0.274
2021-01-15 11:30:40,104.685,0.29
2021-01-15 11:30:50,104.358,0.257
2021-01-15 11:31:00,104.496,0.271
2021-01-15 11:31:10,104.375,0.259
2021-01-15 11:31:20,104.324,0.254
2021-01-15 11:31:30,104.375,0.259
2021-01-15 11:31:40,104.72,0.293
2021-01-15 11:31:50,104.392,0.261
2021-01-15 11:32:00,104.582,0.28
2021-01-15 11:32:10,104.53,0.274
2021-01-15 11:32:20,104.324,0.254
2021-01-15 11:32:30,104.255,0.247
2021-01-15 11:32:40,104.41,0.262
2021-01-15 11:32:50,104.358,0.257
2021-01-15 11:33:00,104.789,0.3
2021-01-15 11:33:10,104.392,0.261
2021-01-15 11:33:20,104.651,0.286
2021-01-15 11:33:30,104.548,0.276
2021-01-15 11:33:40,104.444,0.266
2021-01-15 11:33:50,104.548,0.276
2021-01-15 11:34:00,104.513,0.273
2021-01-15 11:34:10,104.892,0.31
2021-01-15 11:34:20,104.41,0.262
2021-01-15 11:34:30,104.582,0.28
2021-01-15 11:34:40,104.117,0.233
2021-01-15 11:34:50,104.823,0.304
2021-01-15 11:35:00,104.513,0.273
2021-01-15 11:35:10,104.496,0.271
2021-01-15 11:35:20,104.565,0.278
2021-01-15 11:35:30,104.582,0.28
2021-01-15 11:35:40,104.565,0.278
2021-01-15 11:35:50,104.479,0.269
2021-01-15 11:36:00,104.565,0.278
2021-01-15 11:36:10,104.479,0.269
2021-01-15 11:36:20,104.513,0.273
2021-01-15 11:36:30,104.634,0.285
2021-01-15 11:36:40,104.427,0.264
2021-01-15 11:36:50,104.599,0.281
2021-01-15 11:37:00,104.479,0.269
2021-01-15 11:37:10,104.961,0.317
2021-01-15 11:37:20,104.513,0.273
2021-01-15 11:37:30,104.858,0.307
2021-01-15 11:37:40,104.651,0.286
2021-01-15 11:37:50,104.634,0.285
2021-01-15 11:38:00,104.806,0.302
2021-01-15 11:38:10,104.461,0.268
2021-01-15 11:38:20,104.875,0.309
2021-01-15 11:38:30,104.444,0.266
2021-01-15 11:38:40,104.599,0.281
2021-01-15 11:38:50,104.289,0.25
2021-01-15 11:39:00,104.169,0.238
2021-01-15 11:39:10,104.169,0.238
2021-01-15 11:39:20,104.427,0.264
2021-01-15 11:39:30,104.548,0.276
2021-01-15 11:39:40,104.875,0.309
2021-01-15 11:39:50,104.685,0.29
2021-01-15 11:40:00,104.599,0.281
2021-01-15 11:40:10,104.737,0.295
2021-01-15 11:40:20,104.668,0.288
2021-01-15 11:40:30,104.582,0.28
2021-01-15 11:40:40,104.892,0.31
2021-01-15 11:40:50,104.548,0.276
2021-01-15 11:41:00,104.582,0.28
2021-01-15 11:41:10,104.53,0.274
2021-01-15 11:41:20,104.599,0.281
2021-01-15 11:41:30,104.496,0.271
2021-01-15 11:41:40,104.306,0.252
2021-01-15 11:41:50,104.513,0.273
2021-01-15 11:42:00,104.392,0.261
2021-01-15 11:42:10,104.651,0.286
2021-01-15 11:42:20,104.237,0.245
2021-01-15 11:42:30,104.53,0.274
2021-01-15 11:42:40,104.306,0.252
2021-01-15 11:42:50,104.375,0.259
2021-01-15 11:43:00,104.41,0.262
2021-01-15 11:43:10,104.341,0.256
2021-01-15 11:43:20,104.737,0.295
2021-01-15 11:43:30,104.548,0.276
2021-01-15 11:43:40,105.047,0.326
2021-01-15 11:43:50,104.737,0.295
2021-01-15 11:44:00,104.961,0.317
2021-01-15 11:44:10,104.616,0.283
2021-01-15 11:44:20,104.703,0.292
2021-01-15 11:44:30,104.496,0.271
2021-01-15 11:44:40,104.496,0.271
2021-01-15 11:44:50,104.74,0.295
